#Gene	Name/Description	Isoforms	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
RASSF5	RASSF5	2	55.27	77.32	58.17
RASSF6	RASSF6	1	20.77	20.09	30.46
RASSF7	RASSF7	3	213.39	147.62	82.28
RASSF8	RASSF8	3	79.15	123.8	129.03
RAVER1	RAVER1	3	78.25	60.04	72.55
RB1	RB1	1	94.66	96.34	98.61
RB1CC1	RB1CC1	7	1299.19	1443.11	1142.06
RBBP4	RBBP4	5	666.14	749.34	792.89
RBBP5	RBBP5	6	348.52	339.16	212.87
RBBP5_TMEM81	RBBP5_TMEM81	1	20.35	15.03	11.62
RBBP6	RBBP6	3	740.56	683.54	762.64
RBBP7	RBBP7	6	451.39	447.54	493.02
RBBP8	RBBP8	4	267.9	280.78	319.17
RBBP9	RBBP9	3	351.64	370.32	284.92
RBCK1	RBCK1	2	280.98	247.53	223.24
RBFA	RBFA	3	112.66	107.4	115.66
RBFOX2	RBFOX2	10	433.09	487.29	652.92
RBKS	RBKS	5	437.76	419.15	478.77
RBL1	RBL1	3	44.88	32.39	43.66
RBL2	RBL2	8	884.22	774.32	419.28
RBM10	RBM10	6	167.2	190.86	157.06
RBM12B	RBM12B	8	406.29	391.76	473.37
RBM14	RBM14	3	358.92	358.55	469.19
RBM15	RBM15	1	222.27	148.91	238.97
RBM15B	RBM15B	1	83.3	89.23	103.03
RBM17	RBM17	2	316.06	337.06	335.68
RBM18	RBM18	3	190.28	236.25	203.83
RBM19	RBM19	2	97.32	93.8	93.69
RBM22	RBM22	6	343.33	334.05	400.1
RBM23	RBM23	7	141.42	148.98	194.94
RBM25	RBM25	7	480.32	500.23	734.63
RBM26	RBM26	6	323.53	363.92	439.68
RBM27	RBM27	4	387.52	453.21	413.36
RBM28	RBM28	1	108.2	118.74	137.97
RBM3	RBM3	10	510.48	774.43	1391.99
RBM33	RBM33	5	864.4	675.82	672.21
RBM34	RBM34	2	172.6	171.13	209.05
